Company_Brand,Sector,Stage,HeadQuarter,What_it_does,Amount,Year,Founded,Founders,Investor
Spinny,Automotive,Series D,Gurugram,Spinny is a new age used car end-to-end platform in India.,108000000.0,2021,2015.0,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global
Mynvax,BioTechnology,Series A,Bangalore,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,4000000.0,2021,2017.0,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd"
RiseBird,Human Resources,Undisclosed,Pune,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,500000.0,2021,2018.0,Ashutosh Seth,SAB Holdings
Uvi Health,Health Care,Pre-seed,Bangalore,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,330000.0,2021,2020.0,Mehak Malik,Titan Capital
Vegrow,Farming,Undisclosed,Bangalore,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,13000000.0,2021,2020.0,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital"
Automovill,Automotive,Undisclosed,Bangalore,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.",500000.0,2021,2015.0,"Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network
NFTically,NFT Marketplace,Seed,Gurugram,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",172005293.10344827,2021,2021.0,Toshendra Sharma,Jayanti Kanani
HealthifyMe,Health Care,Series C,Bangalore,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,75000000.0,2021,2012.0,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures"
GalaxyCard,FinTech,Undisclosed,Gurugram,GalaxyCard is a mobile based Instant Credit Card.,450000.0,2021,2017.0,Amit Kumar,JITO Angel Network
Bella Vita Organic,Health Care,Undisclosed,Gurugram,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,10000000.0,2021,2018.0,Aakash Anand,Ananta Capital
SmartCoin,FinTech,Undisclosed,Bangalore,India's Most Preferred Instant Loan App,10000000.0,2021,2016.0,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital"
CareerNinja,EdTech,Seed,Mumbai,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",172005293.10344827,2021,2017.0,Shronit Ladhaniai,Unitus Ventures
MYSUN,Solar,Undisclosed,New Delhi,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",2000000.0,2021,2016.0,Gagan Vermani,TATA Cleantech Capital
Sea6 Energy,BioTechnology,Series B,Bangalore,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",9000000.0,2021,2010.0,"Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark
Beco,Consumer Goods,Seed,Mumbai,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",500000.0,2021,2018.0,"Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund
OneCode,Internet,Undisclosed,Bangalore,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services",5000000.0,2021,2020.0,"Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners"
MedPay,IT,Seed,Bangalore,MedPay® is building the real-time claims adjudication platform for health insurers.,1200000.0,2021,2020.0,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures"
Inshorts,Internet,Undisclosed,Noida,Built Inshorts with a promise to deliver news,60000000.0,2021,2013.0,Azhar Iqubal,Vy Capital
Digantara,SpaceTech,Seed,Bangalore,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",2500000.0,2021,2018.0,"Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital
Aqgromalin,AgriTech,Seed,Chennai,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,700000.0,2021,2018.0,"Prasanna Manogaran, Bharani CL",Zephyr Peacock
Square Yards,Real Estate,Undisclosed,Gurugram,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,25000000.0,2021,2014.0,Tanuj Shori,ADM Capital
OYO,Hospitality,Undisclosed,Gurugram,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,660000000.0,2021,2013.0,Ritesh Agarwal,"SoftBank Vision Fund, Hindustan Media Venture"
Slang Labs,Computer Software,Undisclosed,Bangalore,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,172005293.10344827,2021,2017.0,Kumar Rangarajan,100x Entrepreneurs
NirogGyan,Health Care,Seed,Gurugram,"Simplifying Diagnostics for labs, doctors, and people.",172005293.10344827,2021,2019.0,"Joyneel Acharya, Shweta Gandhi","Healthcare veterans, PIEDS"
Ola Electric,Automotive,Debt,Bangalore,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,100000000.0,2021,2017.0,Bhavish Aggarwal,Bank of Baroda
Bikry app,Consumer software,Undisclosed,Noida,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",1300000.0,2021,2019.0,Abhishek Bhayana,YCombinator
Oliveboard,EdTech,Undisclosed,Bangalore,Oliveboard is the top exam preparation platform for Banking & Government Exams.,3000000.0,2021,2012.0,"Abhishek Patil, V Satish Kumar",IAN Fund
Little Leap,EdTech,300000,New Delhi,Soft Skills that make Smart Leaders,300000.0,2021,2020.0,Holistic Development Programs for children in age range 5-15,Vishal Gupta
Trell,Social Commerce,Series B,Bangalore,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,45000000.0,2021,2016.0,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M"
Kredent,EdTech,Undisclosed,Kolkata,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,1000000.0,2021,2008.0,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities
EasyAspataal,Health Care,Seed,Mumbai,India’s First Digital Admission Desk for Hospitalisation.,500000.0,2021,2020.0,"Manoj Gupta, Gunjali Kothari",Venture Catalysts
SMOOR,Food & Beverages,Undisclosed,Bangalore,Instigate your sixth sense with our new range of chocolates.,172005293.10344827,2021,2008.0,Vimal Sharma,Klub
Pankhuri,Social community,Undisclosed,Bangalore,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",3200000.0,2021,2019.0,Pankhuri Shrivastava,Sequoia’s Surge
Arcana,IT,Seed,Bangalore,Arcana is the Storage Layer of Ethereum.,370000.0,2021,2019.0,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan
AdmitKard,EdTech,Undisclosed,Noida,A tech solution for end to end career advisory to students looking to study abroad.,172005293.10344827,2021,2016.0,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal	#REF!",$1000000
UrbanKisaan,Food & Beverages,Undisclosed,Hyderabad,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,172005293.10344827,2021,2017.0,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH
Aquaconnect,Fishery,Pre-series A,Chennai,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,4000000.0,2021,2017.0,Rajamanohar,"Rebright Partners, Flourish Ventures"
Vah Vah!,EdTech,Undisclosed,Bangalore,A mission to educate India and make its young and dynamic population job ready.,1800000.0,2021,2020.0,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge
LetsDressUp,Apparel & Fashion,Pre-series A,Gurugram,Building India's version of Stitch Fix,300000.0,2021,2019.0,Aditya B,"Titan Capital, Sequoia Capital"
Sapio Analytics,Computer Software,Undisclosed,Mumbai,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,150000.0,2021,2019.0,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group
BHyve,Human Resources,300000,Mumbai,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,300000.0,2021,2020.0,Backed by 100x.VC,"Omkar Pandharkame, Ketaki Ogale"
Indi Energy,Renewables & Environment,Seed,Roorkee,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",172005293.10344827,2021,2019.0,Dr. ASIT SAHOO,Mumbai Angels Network
The Ayurveda Co,Consumer Goods,Undisclosed,Gurugram,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,172005293.10344827,2021,2021.0,"Param Bhargava, Shreedha Singh","GetVantage, Velocity, Shiprocket Capital"
Pratilipi,Online storytelling,Undisclosed,Bangalore,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",48000000.0,2021,2015.0,Ranjeet Pratap Singh,"Krafton Inc, Omidyar"
Ati Motors,Automotive,Pre-series A,Bangalore,Autonomous industrial vehicle maker,35000000.0,2021,2017.0,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners"
peAR,Deeptech,Pre-series A1,Mumbai,An AR / VR tech based Start-up in Mumbai.,300000.0,2021,2018.0,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures
Gourmet Garden,Farming,Undisclosed,Bangalore,"100% contamination free, pesticide free naturoponically grown vegetables.",3000000.0,2021,2019.0,Arjun Balaji,"Beyond Next Ventures, M Venture Partners"
The Sleep Company,Consumer Goods,Pre-series A,Mumbai,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,1000000.0,2021,2019.0,,Fireside Ventures
TyrePlex,B2B E-commerce,Seed,New Delhi,Tyreplex is digitizing the tyre dealers in India.,172005293.10344827,2021,2020.0,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders
ION Energy,Automotive,Pre-series A,Mumbai,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,3600000.0,2021,2016.0,Akhil Aryan,
Digit Insurance,Insurance Tech,Undisclosed,Bangalore,"Digit becomes the first Unicorn of 2021, valued at $1.9B.",200000000.0,2021,2016.0,Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers"
FRAAZO,Food & Beverages,Series A,Mumbai,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,11000000.0,2021,2020.0,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES"
Licious,Food & Beverages,Series F,Bangalore,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",192000000.0,2021,2015.0,"Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE"
WinZO,Gaming,Series C,New Delhi,WinZO is the largest social gaming and entertainment platform in India.,65000000.0,2021,2018.0,Paavan Nanda,Griffin Gaming Partners
Furlenco,Consumer Goods,Undisclosed,Bangalore,Furlenco is a different furniture company.,100000000.0,2021,2012.0,Ajith Mohan Karimpana,Zinnia Global
Skylark Drones,Aviation,Pre-series A,Bangalore,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",3000000.0,2021,2014.0,Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund"
Leegality,IT,Pre-series A,Gurugram,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",172005293.10344827,2021,2016.0,Shivam Singla,"IIFL, Mumbai Angels"
Arcatron Mobility,Health Care,Undisclosed,Pune,Mission is to advance global standards of assisted living and make it dignified and safer.,172005293.10344827,2021,2015.0,Ganesh Sonawane,Klub
TWID,FinTech,Undisclosed,Bangalore,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions",2500000.0,2021,2020.0,"Amit Sharma, Amit Koshal, Rishi Batra","BEENEXT, Sequoia’s Surge"
PeakPerformer,EdTech,Early seed,Bangalore,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.",172005293.10344827,2021,2020.0,"Aishwarya Goel, Gaurav Jhunjhnuwala",Antler India
MyMobiForce,Internet,Pre-series A,Noida,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",1400000.0,2021,2018.0,"Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion
Pine Labs,IT,Undisclosed,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,600000.0,2021,1998.0,Amrish Rau,"Fidelity, BlackRock"
Genworks Health,Health Care,Undisclosed,Bangalore,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,2000000.0,2021,2015.0,S Ganeshprasad,Blacksoil
Pocketly,FinTech,Undisclosed,Bangalore,"Pocketly provides quick cash on hand, anytime - anywhere!",172005293.10344827,2021,2019.0,"Aarav Bhatia, Navdeesh Ahuja",
Neverinstall,IT,Seed,Bangalore,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,370000.0,2021,2019.0,"Lakshmana Pasala, Ram Pasala",Speciale Invest
CoRover,IT,Undisclosed,Bangalore,CoRover is the world’s first and the highest ROI delivering human-centric conversational AI platform.,172005293.10344827,2021,2016.0,"Ankush Sabharwal, Manav Gandotra, Kunal Bhakhri",Canbank Venture Capital Fund
BeatO,Health Care,Pre-series B,New Delhi,ULTIMATE app to manage chronic conditions.,5000000.0,2021,2015.0,Gautam Chopra,W Health Ventures
Earth Rhythm,Cosmetics,Seed,Gurugram,A mission to make customers healthier and Earth a little greener.,1200000.0,2021,2020.0,Harini Sivakumar,Anicut Angel Fund
Fountain9,Computer Software,Seed,Mumbai,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.",1900000.0,2021,2019.0,"Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator"
Rockclimber,Food & Beverages,Undisclosed,Bangalore,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,1000000.0,2021,2019.0,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma
SpEd@home,EdTech,Undisclosed,Mumbai,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",300000.0,2021,2020.0,Dhaval Mody,
CanPe,Computer Software,Seed,Bangalore,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",172005293.10344827,2021,2019.0,Arindam Choudhury,Axilor Ventures
Green Soul,Consumer Goods,Undisclosed,Ambernath,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,200000.0,2021,2016.0,Ravi Khushwani,velocity.in
Shiprocket,Logistics,Series D1,New Delhi,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,41000000.0,2021,2012.0,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital"
DealShare,Retail,Undisclosed,Bangalore,The next generation disruptive (social) e-commerce product for the masses.,144000000.0,2021,2018.0,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global
Teachmint,EdTech,Pre-series B,Bangalore,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,20000000.0,2021,2020.0,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital
Vahak,Transport,Pre-series A,Bangalore,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,5000000.0,2021,2017.0,"Vikas Chandrawat, Karan Shaha",RTP Global
goSTOPS,Hospitality,Pre-series A,New Delhi,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,1000000.0,2021,2014.0,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures"
Codedamn,Computer Software,Pre-seed,New Delhi,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,172005293.10344827,2021,2020.0,Mehul Mohan,Antler India
Biocraft Innovation Technology,Environmental Services,Pre-seed,Noida,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,172005293.10344827,2021,2019.0,"Vibha Mittal, Anubhav Mittal",JITO Angel Network
Powerplay,Construction,Undisclosed,Bangalore,Powerplay helps simplify end to end Construction and Architecture project management.,5200000.0,2021,2020.0,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners"
Accio Robotics,Industrial Automation,Undisclosed,Bangalore,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,172005293.10344827,2021,2020.0,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi
Delhivery,Logistics,Series H,Gurugram,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.",270000000.0,2021,2011.0,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC"
Avishkaar,EdTech,Pre-series A,New Delhi,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,600000.0,2021,2014.0,"Rajeev Gaba, Tarun Bhalla",Auxano
Jobsgaar,Job portal,Seed,New Delhi,India's first District level/ Hyper Local Job discovery platform,140000.0,2021,2020.0,Atul Pratap Singh,SucSEED Indovation Fund
Almo,D2C Fashion,Seed,Gurugram,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,172005293.10344827,2021,2020.0,Abhishek Shah,Angelist India
Breathe Well-being,Health Care,Pre-series A,New Delhi,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,1000000.0,2021,2015.0,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal"
GalaxEye,SpaceTech,Pre-seed,Chennai,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,172005293.10344827,2021,2020.0,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest
Good Health Clinic,Health Care,Undisclosed,Hyderabad,Full Stack Digital Health Clinic,5000000.0,2021,2021.0,Samarth Sindhi,Khosla Ventures
Urban Company,Home services,Series F,New Delhi,Urban Company is an India-based company providing a marketplace for freelance labor.,250000000.0,2021,2014.0,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management"
MYBYK,Rental,Pre-series A,Ahmadabad,MYBYK is an app that provides premium bicycle sharing and rental service.,1000000.0,2021,2014.0,Arjit Soni,Avon Cycles
Locus,Logistics,Series C,Bangalore,Locus is an intelligent decision-making and automation platform for logistics.,50000000.0,2021,2015.0,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners"
Crejo.Fun,EdTech,Seed,Bangalore,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,3000000.0,2021,2020.0,Vikas Bansal,"Matrix Partners India, 021 Capital"
Bambinos,EdTech,Seed,Bangalore,Cohort based extracurricular course for kids,500000.0,2021,2020.0,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels"
KreditBee,FinTech,Undisclosed,Bangalore,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,8000000.0,2021,2018.0,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity"
Spardha,EdTech,Pre-series A1,Pune,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.",400000.0,2021,2016.0,"Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures
Onelife Nutriscience,Health Care,Undisclosed,Mumbai,Onelife Nutriscience is a consumer healthcare brands company.,172005293.10344827,2021,2019.0,Gaurav Aggarwal,Lasons India
Flatheads,Fashion,Undisclosed,Bangalore,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,172005293.10344827,2021,2019.0,"Ganesh Balakrishnan, Utkarsh Biradar","Pankaj Chaddah, Srivatsan Rajan"
Fable Fintech,FinTech,Series A,Mumbai,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",172005293.10344827,2021,2015.0,Naushad Contractor,Paytm
Holisol,Logistics,Undisclosed,New Delhi,HoliSol Logistics Is a Supply Chain Operations Company!,3000000.0,2021,2009.0,"Manish Ahuja, Naveen Rawat, Rahul Dogar","BlackSoil, CLSA Capital Partners"
Now&Me,Health Care,Undisclosed,New Delhi,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.",1000000.0,2021,2018.0,"Bani Singh, Drishti Gupta","Saama, Whiteboard Capital"
Fyllo,AgriTech,Seed,Bangalore,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,400000.0,2021,2019.0,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels"
Cora Health,Health Care,Undisclosed,Bangalore,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,172005293.10344827,2021,2020.0,"Shrijit Venkatesh, Snigdha Kumar",
Blaer Motors,Mobility,Undisclosed,Chennai,Meant to augment human power and not completely replace it,300000.0,2021,2014.0,Abinesh Ekambaram,The Chennai Angels
Swiflearn,EdTech,Pre-series A,Gurugram,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,3000000.0,2021,2019.0,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners"
Cashfree,FinTech,Undisclosed,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,172005293.10344827,2021,2015.0,"Akash Sinha, Reeju Datta","State Bank of India, Y Combinator"
QuickSell,E-Commerce,Pre-series A,Mumbai,B2B Mobile Commerce Platform,2000000.0,2021,2017.0,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain"
Truemeds,Health Care,Series A,Mumbai,Truemeds is a health-tech startup.,5000000.0,2021,2019.0,"Akshat Nayyar, Kunal Wani",InfoEdge
Candes,E-Commerce,Undisclosed,New Delhi,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,3000000.0,2021,2015.0,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria"
MediBuddy,Health Care,Undisclosed,Bangalore,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",3000000.0,2021,2000.0,"Satish Kannan, Enbasekar","Stride Ventures, InnoVen Capital"
F5,Food & Beverages,Pre-series A,New Delhi,F5 is a foods and beverages company.,300000.0,2021,2018.0,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta"
Capital Float,FinTech,Undisclosed,Bangalore,Capital Float is an online platform that provides working capital finance to SMEs in India.,6000000.0,2021,2013.0,"Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, SAIF Partners"
IntelleWings,IT,Seed,Panchkula,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",100000.0,2021,2019.0,Pramod Sharma,
Shyplite,Logistics,Undisclosed,New Delhi,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,1000000.0,2021,2016.0,"Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital
Refyne,FinTech,Series A,Bangalore,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,20000000.0,2021,2020.0,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global"
Greenjoules,Renewable Energy,Series A,Pune,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,4500000.0,2021,2018.0,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital
MentorKart,Consulting,Seed,New Delhi,MentorKart™ helps to fulfil dreams and take that big step towards success.,150000.0,2021,2018.0,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal"
Leverage Edu,EdTech,Debt,New Delhi,AI-enabled marketplace designed to help students with their higher education and career growth plans,2000000.0,2021,2017.0,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures"
Kale Logistics,Logistics,Series A,Thane,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,5000000.0,2021,2010.0,"Amar More, Vipul Jain",Inflexor Ventures
CustomerGlu,CRM,Undisclosed,Bangalore,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,320000.0,2021,2016.0,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal"
Cell Propulsion,EV,Undisclosed,Bangalore,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,2000000.0,2021,2016.0,"Nakul Kukar, Paras Kaushal",growX ventures
Wellbeing Nutrition,Health Care,Undisclosed,Mumbai,Organic whole food nutrition to keep up with the pace at which we live,172005293.10344827,2021,2019.0,Avnish Chhabria,Klub
Pee Safe,Health Care,Pre-series B,Gurugram,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,3000000.0,2021,2013.0,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners"
Chqbook,FinTech,Undisclosed,New Delhi,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.",1000000.0,2021,2017.0,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital"
SimpliContract,Software,Seed,Bangalore,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",1800000.0,2021,2020.0,"Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital
Dropshop,Logistics,Pre-series A,Bangalore,Building technology to make distribution efficient and cheaper for large and small FMCG companies,1000000.0,2021,2019.0,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures
Jumbotail,E-Commerce,Debt,Bangalore,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,4000000.0,2021,2015.0,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital
BYJU'S,EdTech,Undisclosed,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,350000000.0,2021,2011.0,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital"
Power Gummies,Nutrition,Undisclosed,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,1000000.0,2021,2018.0,Divij Bajaj,"Venture Catalysts, 9unicorns"
Convosight,SaaS,Series A,New Delhi,A mission - to help community builders become community entrepreneurs.,9000000.0,2021,2019.0,Tarun Dhamija,Qualgro
Junio,FinTech,Seed,New Delhi,Junio is a kids-focused digital pocket money-smart card.,600000.0,2021,2020.0,Ankit Gera,"Amit Lakhotia, Pravin Jadhav"
Wherehouse.io,Logistics,Seed,New Delhi,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.",172005293.10344827,2021,2020.0,"Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital
Flexmoney,FinTech,Series A,Mumbai,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",4800000.0,2021,2015.0,Yezdi Lashkari,Pravega Ventures
Fampay,FinTech,Series A,Bangalore,India's first numberless card and UPI without a bank account,38000000.0,2021,2019.0,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital"
